#DAATOS chillan jorge
#                  sombra                                       altura
#hora	
#	10	12	13	14	15	10	12	13	14	15

	51.3	23.7	11.0	11.7	21.4	49.7	48.7	48.4	48.5	48.6
	63.0	27.7	18.3	18.5	28.8	59.6	60.9	60.8	59.5	60.0
	77.0	31.7	20.2	22.0	31.5	71.3	72.6	71.5	72.0	71.4
	88.0	37.6	23.0	23.4	38.7	83.5	84.7	84.6	88.0	84.6	
	108.0	43.3	28.6	31.2	44.5	103.9	99.9	100.2	101.0	100.5
	s	23.3	14.0	12.0	24.3	s	49.6	49.0	49.3	49.6
	s	28.3	17.0	18.0	27.0	s	61.7	59.5	60.0	60.8
	s	32.3	22.0	23.2	32.3	s	72.5	71.4	72.5	72.1	
	s	37.2	21.5	23.4	36.1	s	84.6	83.5	84.1	84.6							
	s	44.5	27.0	27.4	45.5	s	99.4	99.2	99.3	99.9
	s	s	16.1	15.5	24.8	s	s	49.1	48.8	49.3	
	s	s	20.2	20.0	30.6	s	s	60.2	60.8	60.6	
	s	s	19.5	22.0	35.6	s	s	71.5	72.3	71.6	
	s	s	22.5	23.0	37.6	s	s	83.5	84.2	84.3	
	s	s	27.0	29.1	46.7	s	s	99.0	99.3	99.2

	
																						
												
														
													
										
										
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	

	
	
	
	
	
	
	
	
	
	
